,0
27,"André V. F. Sousa, Edmilson A. do Nascimento, Gustavo P. G. dos Santos e Michel P. Andrade
O uso de containers e máquinas virtuais para a otimização de custos e serviços no Governo Federal. Uma
análise comparativa"
28,"Felipe C. Costa Alves, Jean Caminha, Renan Susuki, Allan Gonçalves, Hernane Junior, Tierry Lincoln e Roberto
Benedito
O Uso de Micro Serviços no desenvolvimento de sistemas nas Universidades e seus benefícios: um estudo de
caso"
29,"Tales M. Machado, Frederico A. de C. A. Gonçalves, Abelard R. Fernandes e Tiago R. Chaves
O uso prático do traffic control (tc) para evitar o colapso de links de Internet em regiões próximas a áreas
residenciais"
30,"Rômulo N. de Oliveira,, Deive F. V. Gomes, Carlos R. A. da Silva e Icaro dos S. Silva
Padronização de tipos de documentos: um passo na direção da desburocratização"
31,"Cléber M. Tavares, Diogo G. Pereira, Eliara M. Tavares, Gustavo F. Afonso, José R. P. Ribeiro e Michel L. Alves
Planejamento de Projetos Utilizando Uma Ferramenta Baseada no Modelo PMC (Project Model Canvas)"
32,Daniel Biasoli e Ocimar Luiz ZolinPoC RNP/UFG: Implantação do G Suite por meio da adesão ao serviço da Plataforma Nasnuvens/RNP
33,"Igor R. Vieira, Jean T. Lima e Ricardo H. D. Borges
Portal de Dados Abertos UFG"
34,"Bruno N. Machado, Jhonny L.Cabral, Juarez E. Lima e Ricardo H. D. Borges
Portal de Integração UFG - APIs de serviços para integração de dados e sistemas"
35,"Andrey E. da Silva, Bruno N. Machado, Jhonny L. Cabral, Juarez E. Lima, Lauro R. Gomides e Ricardo H. D. Borges
Processo de gerenciamento de riscos: um relato sobre a experiência da STI/UFF "
36,"Núbia dos S. R. S. dos Santos e Henrique O. U. P. de Souza
Relato de Experiência: implantação de um sistema de documentação e gestão das redes de comunicação da
Universidade Federal de Mato Grosso "
37,"Willdson G. de Almeida, Jeison G. dos Santos e Jonata B. M. dos Santos
SeBaHo Juntando o Util ao Necessário Serviço de Backup, Restore e Homologação de Base de Dados"
38,"Guilherme Geronimo e Gustavo Tonini
SINAPSE: Sistema Integrado de Acompanhamento de Projetos e Serviços"
39,"Danniel Rocha, Euclydes Melo, Luiz Fernando, Marcos Raniere, Matheus Campanhã e Taison Almeida
SisPAC – Sistema para Levantamento e Consolidação das Necessidades do PAC "
40,"Tarcila G. da Silva, Taiana B. Pereira, Julliany S. Brandão, Daniel F. Oliveira e Enoch C. P. L. da Silva
Sistema Eletrônico de Informações (Sei!): um estudo sobre a melhoria dos serviços públicos com apoio da
inovação em processos"
41,"Ana M. M. de Paiva, Jeison G. dos Santos, Elisandra M. Zambra, Paulo A. R. de Souza e Renato Neder
Transformação de Projetos de Sistemas de Informação da UTFPR Através de Frameworks Modernos"
42,"Diogo A. B. Pereira, Marcelo A. Faveri, Rui P. Leite e William H. dos Santos
UFPB-Sentinela: Um Sistema de Segurança para a Cidade Universitária"
43,"Iron A. de A. Júnior, Sandro L. I. Araujo, José Augusto L. B. de C. Filho e Arthur S. A. de Melo
Uma Análise das faturas de telefonia fixa da UFMT utilizando ferramentas gratuitas de ETL e Business
Intelligence"
44,"Jonata B. M. dos Santos, Jean Caminha, Ana M. M. Paiva e Willdson G. de Almeida
Uma solução de automatização no processo de pagamento de bolsas de auxílio"
45,"André T. P. Rodrigues e Raphael P. Ferreira
Universidade Digital: Gerenciamento de Ordem de Serviço"
46,"Marcos J. F. Neto, Diogo C. Silva, Ítalo C. L. Silva e Rômulo N. Oliveira
Universidade Digital: preservando e disponibilizando a produção científica através do Repositório
Institucional"
47,"Italo Silva, Diogo Cabral, Marcos Neto e Rômulo Nunes
Utilização da Central de Ajuda para a Tecnologia da Informação: Estratégias para Auxílio ao Usuário"
48,"Paulo Freire Sobrinho
Utilização de Serviço de Registro, Autenticação e Preservação de Documentos para a Emissão de Diplomas
Digitais"
49,"Marcelo Soares, Raphael Patrício, Georgenes Lima e Jeysibel Dantas
Utilizando a Gestão de Conhecimento para facilitar o desenvolvimento em projetos de software"
50,"Rodrigo A. Costa
Análise do Processo de Interações Acadêmicas Através do Mapeamento de Fluxo de Valor na UFRGS"
51,"Marlon Soliman, Joao F. F. Vieira, Nicolas Dentzuk, Erica K. de Oliveira, Priscilla F. dos R. Pontes e Éverson J. Santos
Aplicação da Gestão de Processos em uma Instituição Federal de Ensino Superior: o caso da Divisão de
Orçamento da UFERSA"
52,"Lívia R. Barreto, Geisa M. R. de Vasconcelos e Amanda Braga Marques
Aplicação de BPM na gestão do TED estabelecido entre o INCRA e a UFMT"
53,"Maurício F. L. Pereira, Olivan Rabelo, Nilton H. Takagi, Anne C. B. Cardoso, Josiel M. Figueiredo
Execução de Melhoria Contínua Baseado em BPMN e Indicadores na Gestão de Serviços de TIC: Estudo de
caso na Diretoria de Sistemas do NTI/UFPE"
54,"Renato V. Mendes e Suzanna S. Dantas
Grau de Maturidade em Processos: um estudo da evolução da Gestão por Processos na UFJF"
55,"Fábio S. de Figueiredo, Leonardo Ciuffo, Alcimar Honório e Wagner Ramalho
Implementação de novo fluxo de processo: case aula de campo da UFMT"
56,"Anne C. B. Cardoso, Cleiton D. da Silva, Thais F. B. da Silva, Greice de S. Arruda, Thiago M. Ventura e Leandro Costa
Garcia
Incorporando a Gestão de Riscos à Gestão por Processos na Universidade Federal
de Santa Maria - UFSM "
57,"Evandro G. Flores, Frank L. Casado, Daniele M. Rizzetti, Jonas C. Macedo, Taiani B. Kienetz, Rafael F. Neves
Melhoria do Processo de Pagamento de Fornecedores do Restaurante Universitário da UFRGS"
58,"João F. Vieira, Priscilla F. Pontes, Marlon Soliman, Éverson Santos, Erica K. de Oliveira
Modelo de Maturidade em Mapeamento de Processos (M3P): Proposta e Aplicação na UFCSPA"
59,"Juliana Silva Herbert, Andressa B. de Oliveira, Marilia R. Silveira, Rodrigo de F. Giglio
Monitoramento de indicadores de processos com uso de Business Intelligence (BI)"
60,"Beatriz S. Seidel, Vanessa G. Kinoshita, João C. S. O. Matos, Reinilton S. Juvenal, Naícia K. F. S. B. T. Caten, Leriane S.
Cardozo
O mapeamento de processos como elemento facilitador no levantamento e elicitação de requisitos do
Sistema de Gestão da Universidade Federal de Juiz de Fora "
61,"Leonardo Ciuffo, Fábio S. de Figueiredo e Rafael G. V. Papa
Processo de Criação de um Novo Regulamento de Graduação Essencial para a Implantação do SIGAA"
